Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Hola	¡Hola {name}! 🖐\n\nSoy RHBoti, tu asistente virtual de Recursos Humanos, y estoy para ayudarte. ¡Espero ser útil! 😊\n\nEstos son todos los temas sobre los que puedo informarte	Editorial		[]	False	[]	209
Buenas	¡Hola {name}! 🖐\n\nSoy RHBoti, tu asistente virtual de Recursos Humanos, y estoy para ayudarte. ¡Espero ser útil! 😊\n\nEstos son todos los temas sobre los que puedo informarte	Editorial		[]	False	[]	209
Buenos dias	¡Hola {name}! 🖐\n\nSoy RHBoti, tu asistente virtual de Recursos Humanos, y estoy para ayudarte. ¡Espero ser útil! 😊\n\nEstos son todos los temas sobre los que puedo informarte	Editorial		[]	False	[]	209
Buenas tardes	¡Hola {name}! 🖐\n\nSoy RHBoti, tu asistente virtual de Recursos Humanos, y estoy para ayudarte. ¡Espero ser útil! 😊\n\nEstos son todos los temas sobre los que puedo informarte	Editorial		[]	False	[]	209
Buenas noches	¡Hola {name}! 🖐\n\nSoy RHBoti, tu asistente virtual de Recursos Humanos, y estoy para ayudarte. ¡Espero ser útil! 😊\n\nEstos son todos los temas sobre los que puedo informarte	Editorial		[]	False	[]	209
Menú Inicial	¡Hola {name}! 🖐\n\nSoy RHBoti, tu asistente virtual de Recursos Humanos, y estoy para ayudarte. ¡Espero ser útil! 😊\n\nEstos son todos los temas sobre los que puedo informarte	Editorial		[]	False	[]	209
Buen día	¡Hola {name}! 🖐\n\nSoy RHBoti, tu asistente virtual de Recursos Humanos, y estoy para ayudarte. ¡Espero ser útil! 😊\n\nEstos son todos los temas sobre los que puedo informarte	Editorial		[]	False	[]	209
Cambiar de banco	**Bancos**\n\n¿Sabías que podés cambiar de banco a través de Integrar?\n\n1.  Accedé a Información Bancaria de tu perfil\n2.  Editá la información bancaria ✏ y completa los datos\n3.  Subí en PDF una constancia de CBU emitida por el banco. (Si es un papel como requisito debe estar firmado por la entidad bancaria; si no, basta con una captura de pantalla de los datos de la cuenta).\n\nPuedo ayudarte con otros temas. ¿querés consultar otros temas?	RRHH4		[]	False	[]	210
Cajero automatico	**Cajero Automático**\n\nEn la zona cercana a la entrada al edificio Magallanes tenés un cajero automático para poder realizar transacciones bancarias y extraer dinero en forma segura.\n\n¿En qué otros temas puedo ayudarte?	Bancos2		[]	False	[]	211
Cajero Automático	**Cajero Automático**\n\nEn la zona cercana a la entrada al edificio Magallanes tenés un cajero automático para poder realizar transacciones bancarias y extraer dinero en forma segura.\n\n¿En qué otros temas puedo ayudarte?	Bancos2		[]	False	[]	211
Usuario de Red	**Usuario de Red**\n\n☹Si se bloqueó tu usuario, te ayudo. Tenés que solicitar el desbloqueo de tu usuario o blanqueo de la clave al interno 1500 o al 4309-1500. \n\n¿Necesitás ayuda con otros temas? 😊	Usuario de Red		[]	False	[]	212
Licencias	**Licencias**\n\nMe gusta poder darte una mano. 😉 Puedo ayudarte en estos otros temas: 👇	Licencias		[]	False	[]	213
Menú Licencias	**Licencias**\n\nMe gusta poder darte una mano. 😉 Puedo ayudarte en estos otros temas: 👇	Licencias		[]	False	[]	213
Vacaciones	**Vacaciones**\n\nTe puedo ayudar con estos temas👇	Vacaciones		[]	False	[]	214
Otras Licencias	**Licencias Especiales**\n\nDe acuerdo al motivo, te corresponden días libres. Seleccioná una opción y te cuento el detalle. 👌	Otras Licencias		[]	False	[]	215
Menú otras licencias	**Licencias Especiales**\n\nDe acuerdo al motivo, te corresponden días libres. Seleccioná una opción y te cuento el detalle. 👌	Otras Licencias		[]	False	[]	215
Licencias	**Licencias Especiales**\n\nDe acuerdo al motivo, te corresponden días libres. Seleccioná una opción y te cuento el detalle. 👌	Otras Licencias		[]	False	[]	215
Menú Licencias Especiales	**Licencias Especiales**\n\nDe acuerdo al motivo, te corresponden días libres. Seleccioná una opción y te cuento el detalle. 👌	Otras Licencias		[]	False	[]	215
Matrimonio	**Matrimonio**\n\n¡Felicitaciones!, te corresponden 10 días corridos.❤\n\nTenés que solicitar los días por paternidad a tu superior directo mediante autogestión en Integrar, a través de “Mi Perfil, Ausentismo“.\n\nAccedé a Integrar haciendo clic [aquí](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d%20)❗ recordá que tenés que estar conectado a la red, \n\n¿Te interesa conocer otro tema?🙂	Otras Licencias2		[]	False	[]	216
Paternidad	**Paternidad**\n\n¡Felicitaciones! ¡Se agranda la familia! 🧸 Tenés 21 (veintiún) días corridos para disfrutar con tu familia (2 de ley y otros 19 del beneficio MetroGAS).\n\nLa licencia comienza a regir a partir del primer día de nacimiento del bebé o de la tutela legal y no se puede prorrogar ni fraccionar.\n\nTenés que solicitar los días por paternidad a tu superior directo mediante autogestión en Integrar, a través de “Mi Perfil, Ausentismo“.\n\nAccedé a Integrar haciendo clic [aqui](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d%20) ❗ recordá que tenés que estar conectado a la red\n\nBien, ¿alguna otra consulta? 🙂	Otras Licencias2		[]	False	[]	217
Adopción	**Adopción**\n\n¡Felicitaciones! ❤ ¡Se agranda la familia!\n\nSi adoptaste legalmente, te corresponde una licencia en días corridos que comienza a regir a partir del primer día de la tutela legal. Esta licencia es un beneficio especial de la empresa.\n\nSi sos mamá, podes tomarte 45 días corridos; en cambio, si sos papá, te podes tomar 21 días corridos.\n\nNo es posible prorrogar ni fraccionar los días de licencia.\n\nSolicitá los días de Adopción a tu superior directo mediante autogestión en la plataforma Integrar, a través de “Mi Perfil, Ausentismos”.\n\nAccedé a Integrar haciendo clic [aquí,](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d%20❗%20) recordá que tenés que estar conectado a la red\n\nEstoy disponible para leer más dudas. ¿Seguimos?	Otras Licencias2		[]	False	[]	218
Donación de sangre	**Donación de sangre**\n\n❤ Solicitá el día por Donación de Sangre a tu superior directo mediante autogestión en Integrar, a través de “Mi Perfil, Ausentismo\n\nAccedé a Integrar haciendo clic [aquí,](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d%20❗%20) recordá que tenés que estar conectado a la red\n\n¿Seguimos recorriendo otras opciones?	Otras Licencias2		[]	False	[]	219
Examen	**Examen**\n\n¡Qué bueno que elijas este camino para tu Desarrollo profesional! 💪\n\n📅 Podes gozar de 15 días hábiles anuales para rendir exámenes en enseñanza media o universitaria con un máximo de 2 (dos) días corridos para preparar tus exámenes. (10 días de ley + 5 días adicionales MetroGAS)\n\nSolicitá los días por Examen a tu superior directo mediante autogestión en Integrar, a través de **Mi Perfil, Ausentismo.**\n\nAccedé a Integrar haciendo clic [aquí,](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d%20❗%20) recordá que tenés que estar conectado a la red\n\n➡A tu regreso, presentá una constancia del examen a tusuperior directo.\n\n¡Éxitos para cuando tengas que rendir!\n\nElegí una opción para continuar con nuevos temas	Otras Licencias2		[]	False	[]	220
Mudanza	**Mudanza**\n\n📅 Te damos 2 (dos) días hábiles para que puedas mudarte con tranquilidad (es un beneficio propio de MetroGAS).\n\nTenés que solicitar los días por mudanza a tu superior directo mediante autogestión en Integrar, a través de “Mi Perfil, Ausentismo“.\n\nAccedé a Integrar haciendo clic [aquí, ❗](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d%20❗%20) recordá que tenés que estar conectado a la red\n\n➡Recordá que tenés que actualizar el domicilio en tu perfil en Integrar adjuntando una declaración jurada en PDF.\n\n¿preferís avanzar con otros?	Otras Licencias2		[]	False	[]	221
Fallecimiento	**Fallecimiento**\n\nSi tenés que despedir a un hermano, tomate 1(un) día para hacerlo. Y podés tomarte 3(tres) días en caso de que haya sido un tu pareja, hijos o padres.\n\nInformá a tu superior directo el fallecimiento, quien cargará la información en Integrar.\n\n¿Necesitas ayuda con otro tema?	Otras Licencias2		[]	False	[]	222
Actualización Docente	**Actualización docente**\n\n📅 Contás hasta 3 (tres) días anuales para el cuidado de tus hij@s en edad escolar (hasta el nivel primario inclusive) que asisten a colegios que suspenden las clases por este motivo.\n\n➡Esta licencia especial es un beneficio de la empresa y aplica para mamás o papás. Si tu pareja, trabaja en MetroGAS, sólo uno puede gozar de esta licencia.\n\nSolicitá los días de Actualización Docente a tu superior directo mediante autogestión en Integrar, a través de “Mi Perfil, Ausentismos”.\n\nAccedé a Integrar haciendo clic [aquí](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=QCMC6MFfNOEyAyJ0oggSwj5JaR4uVfHgD7EX2Pa4v9M%253d%20❗%20), recordá que tenés que estar conectado a la red\n\nSeguimos avanzando ¿puedo ayudarte con otro tema?	Otras Licencias2		[]	False	[]	223
Enfermedad	**Enfermedad**\n\nSi te sentís mal, informalo a tu supervisor/jefe quien comunicará tu estado a Salud Ocupacional.\n\nDurante la jornada laboral, un profesional de Salud Ocupacional se comunicará con vos.\n\n¿Puedo ayudarte con otro tema?	Otras Licencias3		[]	False	[]	224
RRHH	**Varios RRHH**\n\n¿Tenés alguna duda sobre estos temas? Seleccioná la opción para darte mas detalle 👇	RRHH		[]	False	[]	225
Menú RRHH	**Varios RRHH**\n\n¿Tenés alguna duda sobre estos temas? Seleccioná la opción para darte mas detalle 👇	RRHH		[]	False	[]	225
Credencial de ingreso	**Credencial de Ingreso** ⌨\n\n💷Si tu credencial de ingreso no funciona o está deteriorada ❌, podés solicitar una nueva enviando un mail al personal de seguridad Darío Martinez ([rmartine.se@metrogas.com.ar](mailto:rmartine.se@metrogas.com.ar))\n\n🚦Recordá que con tu credencial estás habilitado para ingresar a cualquier edificio de la empresa.\n\nSi tu lugar de trabajo habitual cuenta con un lector de huellas dactilares, registrá tu huella 🙌. para facilitar tu acceso Solicítalo por mail al personal de Seguridad ([dmartinez@se.metrogas.com.ar](mailto:dmartinez@se.metrogas.com.ar)) con copia a tu superior directo.\n\n*   ¡Espero otra consulta! ¿Puedo ayudarte?🙂	RRHH2		[]	False	[]	226
Horas extras	**Horas extras**\n\n🕓 Es el tiempo adicional que dedicas a actividades laborales más allá de tu horario habitual.\n\nPara poder ayudarte mejor, seleccioná una de las siguientes opciones 👇	RRHH3		[]	False	[]	227
Información para pago	**Información para pago**\n\nTu superior directo o el referente de Recursos Humanos de tu sector son las personas responsables de informar las **horas adicionales** ⌚en el sistema. (horas trabajadas fuera del horario normal y habitual)\n\nSi tenés alguna duda respecto a las horas informadas, sugiero que ➡ les consultes a ellos.\n\n¿Tenés alguna otra pregunta? 😉	Horas Extras2		[]	False	[]	228
Cálculo	**Cálculo**\n\nLas **horas extras** 🕓 son las que se desarrollan fuera del horario normal y habitual y se calculan al 50% o al 100% dependiendo del día y del horario realizado.  📆 \n\nSeguimos avanzado ¿Tenés alguna otra pregunta?	Horas Extras2		[]	False	[]	229
Francos Compensatorios	**Francos compensatorios**\n\n⌚Los francos compensatorios corresponden a las horas extras abonadas al 100 %.\n\n**Solicitá las horas a compensar** a tu superior directo mediante autogestión en Integrar, a través de “**Mi Perfil, Ausentismo”**. Ahí mismo, podés consultar tu saldo de francos pendientes.\n\nAccedé a Integrar haciendo clic [aquí](https://performancemanager4.successfactors.com/xi/ui/peopleprofile/pages/index.xhtml?bplte_company=MetrogasP&_s.crb=rkQ8w%252buPaZXesMZHeRNDY4mgP0vOpp2H%252bvC9GEmTdlU%253d)👇, recordá que tenés que estar conectado a la red \n\nBien, ¿querés avanzar con otros temas?	Horas Extras2		[]	False	[]	230
