Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
¿Hola? | hla | ola | hol?	¡Hola {name}!\n\nEstoy para ayudarte a aprender mejor sobre los siguientes productos:\n\n*   Microsoft Teams\n*   Microsoft Outlook\n*   Microsoft Planner\n*   Microsoft Sharepoint\n*   Microsoft OneDrive\n\nSimplemente escribí tu pregunta y voy a buscar la mejor respuesta para ayudarte en el aprendizaje.\n\nEspero serte útil!	ADOPTION_Saludos		[]	False	[]	1
¿Como andas? | cmo andas?	¡Hola {name}!\n\nEstoy para ayudarte a aprender mejor sobre los siguientes productos:\n\n*   Microsoft Teams\n*   Microsoft Outlook\n*   Microsoft Planner\n*   Microsoft Sharepoint\n*   Microsoft OneDrive\n\nSimplemente escribí tu pregunta y voy a buscar la mejor respuesta para ayudarte en el aprendizaje.\n\nEspero serte útil!	ADOPTION_Saludos		[]	False	[]	1
¿Como estas? | cmo estas?	¡Hola {name}!\n\nEstoy para ayudarte a aprender mejor sobre los siguientes productos:\n\n*   Microsoft Teams\n*   Microsoft Outlook\n*   Microsoft Planner\n*   Microsoft Sharepoint\n*   Microsoft OneDrive\n\nSimplemente escribí tu pregunta y voy a buscar la mejor respuesta para ayudarte en el aprendizaje.\n\nEspero serte útil!	ADOPTION_Saludos		[]	False	[]	1
¿Buen dia? | bn dia?	¡Hola {name}!\n\nEstoy para ayudarte a aprender mejor sobre los siguientes productos:\n\n*   Microsoft Teams\n*   Microsoft Outlook\n*   Microsoft Planner\n*   Microsoft Sharepoint\n*   Microsoft OneDrive\n\nSimplemente escribí tu pregunta y voy a buscar la mejor respuesta para ayudarte en el aprendizaje.\n\nEspero serte útil!	ADOPTION_Saludos		[]	False	[]	1
¿Buenas tardes? | noches?	¡Hola {name}!\n\nEstoy para ayudarte a aprender mejor sobre los siguientes productos:\n\n*   Microsoft Teams\n*   Microsoft Outlook\n*   Microsoft Planner\n*   Microsoft Sharepoint\n*   Microsoft OneDrive\n\nSimplemente escribí tu pregunta y voy a buscar la mejor respuesta para ayudarte en el aprendizaje.\n\nEspero serte útil!	ADOPTION_Saludos		[]	False	[]	1
¿Que tal? | q tal?	¡Hola {name}!\n\nEstoy para ayudarte a aprender mejor sobre los siguientes productos:\n\n*   Microsoft Teams\n*   Microsoft Outlook\n*   Microsoft Planner\n*   Microsoft Sharepoint\n*   Microsoft OneDrive\n\nSimplemente escribí tu pregunta y voy a buscar la mejor respuesta para ayudarte en el aprendizaje.\n\nEspero serte útil!	ADOPTION_Saludos		[]	False	[]	1
¿Buenas?	¡Hola {name}!\n\nEstoy para ayudarte a aprender mejor sobre los siguientes productos:\n\n*   Microsoft Teams\n*   Microsoft Outlook\n*   Microsoft Planner\n*   Microsoft Sharepoint\n*   Microsoft OneDrive\n\nSimplemente escribí tu pregunta y voy a buscar la mejor respuesta para ayudarte en el aprendizaje.\n\nEspero serte útil!	ADOPTION_Saludos		[]	False	[]	1
¿Chau? | adios | bye?	Espero haberte ayudado 😄\n\nNos vemos!	ADOPTION_Saludos		[]	False	[]	2
¿Nos vemos?	Espero haberte ayudado 😄\n\nNos vemos!	ADOPTION_Saludos		[]	False	[]	2
¿Hasta la proxima?	Espero haberte ayudado 😄\n\nNos vemos!	ADOPTION_Saludos		[]	False	[]	2
¿Muchas gracias? | gracias?	Espero haberte ayudado 😄\n\nNos vemos!	ADOPTION_Saludos		[]	False	[]	2
¿Te agradezco?	Espero haberte ayudado 😄\n\nNos vemos!	ADOPTION_Saludos		[]	False	[]	2
¿Hasta luego?	Espero haberte ayudado 😄\n\nNos vemos!	ADOPTION_Saludos		[]	False	[]	2
¿Para que sirve Microsoft Teams? | cual es la finalidad cuando usar teams caracteristicas herramienta MS teams	Microsoft Teams es una herramienta creada para poder **garantizar que un equipo de personas dispongan de todos los medios necesarios para trabajar de manera colaborativa y ordenada**, sin importar donde se encuentren.\n\nTeams dispone de muchas utilidades, entre las cuales se encuentran:\n\n· Usar el chat en lugar del correo electrónico.\n\n· Puedes crear múltiples equipos dentro de tu organización y dentro de ellos, generar canales para tratar temas específicos.\n\n· Hacer videollamadas, tanto 1 a 1 como grupales.\n\n· Programar reuniones futuras.\n\n·Editar archivos de forma segura al mismo tiempo.\n\n· ¡Y muchas cosas más!\n\nSi desea saber más sobre las características de Microsoft Teams, [haga clic aquí](https://support.microsoft.com/es-es/office/v%C3%ADdeo-%C2%BFqu%C3%A9-es-microsoft-teams-422bf3aa-9ae8-46f1-83a2-e65720e1a34d).	CHATBOT_ms_teams		[]	False	[]	1000
¿Como comienzo a utilizar Microsoft Teams? | como empiezo a usar como inicio con el uso iniciar sesion session loguearse abrir MS teams	Para comenzar a usar Microsoft Teams siga estos pasos:\n\n1.  Inicie la aplicación:\n    *   En Windows: Haga clic en el icono de inicio, ubicado en la parte inferior izquierda del escritorio, luego haga clic en el icono de Microsoft Teams.\n    *   En Mac: Vaya a la carpeta de Aplicaciones de su ordenador y haga clic en Microsoft Teams.\n    *   En dispositivos móviles: Busque el icono de Teams en el cajón de aplicaciones.\n2.  Inicie sesión con su email y contraseña de Microsoft 365.\n\nSi desea saber más sobre cómo comenzar a usar Microsoft Teams, [haga clic aquí](https://support.microsoft.com/es-es/office/iniciar-sesi%C3%B3n-y-comenzar-a-usar-teams-6723dc43-dbc0-46e6-af49-8a2d1c5cb937).	CHATBOT_ms_teams		[]	False	[]	1001
¿Que sabes sobre Microsoft Teams? | ayuda ayudarme responderme soporte que puedes decirme podes conoces cual es tu conocimiento MS teams ¿Que sabes sobre Microsoft Teams? ¿Que sabes sobre Microsoft Teams?	Puedo ayudarte a conocer como usar **Microsoft Teams**. Prueba preguntarme cosas cómo:\n\n*   ¿Como comienzo a utilizar Microsoft Teams?\n*   ¿Como inicio una nueva conversacion en Microsoft Teams?\n*   ¿Como creo un equipo en Microsoft Teams?\n*   ¿Como inicio una llamada con alguien en Microsoft Teams?\n*   ¿Como programo una reunion en Microsoft Teams?\n*   ¿Como comparto mi pantalla en una reunion en Microsoft Teams?\n*   ¿Como veo todas mis reuniones programadas en Microsoft Teams?\n\nEsos son algunos ejemplos de acciones en las que puedo guiarte. Pero intenta preguntarme por lo que gustes, **aunque no figuren en esta lista**.	CHATBOT_ms_teams		[]	False	[]	1002
¿Como creo un equipo en Microsoft Teams? | crear equipo creacion de un equipo dar de alta un equipo MS teams Como creo equipos en Microsoft Teams	Un equipo es una colección de personas, conversaciones, archivos y herramientas que se encuentran en un mismo sitio. Un canal es un debate en un equipo, que está dedicado a un departamento, un proyecto o un tema.\n\nPara crear un equipo desde cero en Microsoft Teams, debes hacer lo siguiente:\n\n1.  Haga clic en el icono de **Equipos** situado en la parte izquierda de la aplicación de Teams.\n2.  Justo a la derecha de donde acaba de hacer clic, verá la lista de equipos. En la parte inferior de ella, encontrará el botón de **Unirse a un equipo o crear uno**, haga clic en el.\n3.  Luego, haga clic en la primera tarjeta de la esquina superior izquierda, que dice **Crear un equipo.**\n4.  En la ventana que se abre, seleccione **Crear un equipo desde cero.**\n5.  Seleccione el tipo de equipo, puede ser **público** (todos los miembros de la organización pueden unirse) o **privado** (las personas necesitan permiso para unirse)\n6.  Asigne un nombre al equipo y agregue una descripción (opcional).\n7.  Haga clic en el botón **Crear** ubicado en la parte inferior derecha de la ventana emergente.\n\nSi desea saber más sobre la creación de equipos, [haga clic aquí](https://support.microsoft.com/es-es/office/crear-un-equipo-desde-cero-174adf5f-846b-4780-b765-de1a0a737e2b).	CHATBOT_ms_teams		[]	False	[]	1003
¿Como agrego miembros a un equipo en Microsoft Teams? | agregar miembro agregar a alguien nuevo sumar adicionar invitar persona usuario compañero empleado grupo MS teams Como agrego miembro a un equipo en Microsoft Teams	En Microsoft Teams, el propietario de un equipo, puede agregar miembros de la siguiente manera:\n\n1.  Haga clic en el icono de **Equipos** situado en la parte izquierda de la aplicación. A la derecha verá la lista de equipos.\n2.  Busque el equipo donde desea agregar el miembro.\n3.  Haga clic en el icono delos tres puntos, ubicado a la derecha del titulo,\n4.  En el menú que se abre**, elija Agregar miembro.**\n5.  En la **barra de búsqueda** que le aparece a continuación, escriba el nombre del usuario que desee. Al encontrarlo, haga clic en el. Puede repetir este paso con todos los miembros que desee agregar.\n6.  Haga clic en el botón **Cerrar** ubicado en la parte inferior derecha de la ventana emergente.\n\nLas personas que agregue a un equipo recibirán un correo electrónico para informarles de que ahora son miembros del mismo.\n\nSi desea saber más sobre agregar miembros a un equipo, [haga clic aquí](https://support.microsoft.com/es-es/office/agregar-miembros-a-un-equipo-en-teams-aff2249d-b456-4bc3-81e7-52327b6b38e9).	CHATBOT_ms_teams		[]	False	[]	1004
¿Como creo un canal en Microsoft Teams? | creacion de un canal como hago para crear un canal MS teams Como creo canales en Microsoft Teams	Un equipo es una colección de personas, conversaciones, archivos y herramientas que se encuentran en un mismo sitio. Un canal es un debate en un equipo, que está dedicado a un departamento, un proyecto o un tema.\n\nPara crear un canal en Microsoft Teams, siga estos pasos:\n\n1.  Haga clic en el icono de **Equipos** situado en la parte izquierda de la aplicación. Justo a la derecha de esa columna de iconos, verá la lista de equipos.\n2.  Pose el cursor sobre el titulo del equipo que le interese, a la derecha de ese titulo verá un botón conformado por tres puntos, haga clic en el.\n3.  En el menú que le abre, seleccione la opción **Agregar canal.**\n4.  Asigne un nombre al canal y agregue una descripción (opcional). Seleccione la privacidad, puede ser **Estándar** (accesible para todos los miembros del equipo) o **Privado** (accesible solo para las personas que especifique).\n5.  Haga clic en el botón **Agregar** ubicado en la parte inferior derecha de la ventana emergente.\n\nSi desea saber más sobre la creación de un canal, [haga clic aquí](https://support.microsoft.com/es-es/office/crear-un-canal-en-teams-fda0b75e-5b90-4fb8-8857-7e102b014525).	CHATBOT_ms_teams		[]	False	[]	1005
¿Como inicio una nueva conversacion en Microsoft Teams? | crear una nueva conversacion hacer una nueva conversacion comenzar a chatear con alguien MS teams Como inicio nuevas conversaciones en Microsoft Teams	Para iniciar una nueva conversación en Microsoft Teams, siga estos pasos:\n\n1.  Haga clic en el icono de **Chat** situado en la barra lateral izquierda de la aplicación.\n2.  A la derecha de esa columna de iconos, verá nuevamente la palabra **Chat** y en el extremo opuesto, un boton similar a una hoja con un lapiz sobre ella, haga clic en el.\n3.  Luego aparecerá una barra de búsqueda. Escriba en ella el nombre del destinatario y cuando lo encuentre, haga clic sobre el.\n4.  En la parte inferior central de la aplicación verá un cuadro en el cual podrá escribir lo que desee enviarle al contacto seleccionado.\n5.  Luego de escribir el mensaje, en la parte inferior derecha del cuadro de texto, tendrá un botón para enviarlo, o bien puede presionar la tecla Enter.\n\nSi desea saber más sobre iniciar una nueva conversación, [haga clic aquí](https://support.microsoft.com/es-es/office/iniciar-un-chat-en-teams-0c71b32b-c050-4930-a887-5afbe742b3d8).	CHATBOT_ms_teams		[]	False	[]	1006
¿Como inicio una llamada con alguien en Microsoft Teams? | crear una llamada con contacto generar una llamada con contacto comenzar una llamada con alguien MS teams Como inicio llamadas con alguien en Microsoft Teams	Para iniciar una llamada con alguien en Microsoft Teams, debe hacer lo siguiente:\n\n1.  Haga clic en el icono de **Chat** situado en la barra lateral izquierda de la aplicación. Justo a la derecha de esa columna de iconos, verá el título **Chat,** con la lista de conversaciones que tiene hasta el momento, seleccione la que desee para hacer la llamada.\n2.  En la parte superior central de la aplicación, verá el nombre de la persona con la cual tiene ese chat, en el extremo opuesto a ese nombre, verá algunos iconos, entre los cuales hay uno de una **cámara,** y otro de un **teléfono,** haga clic en el que corresponda, según si desea tener una llamada con video y audio. O una con solo audio.\n\nSi desea saber más sobre iniciar una nueva llamada, [haga clic aquí](https://support.microsoft.com/es-es/office/iniciar-una-llamada-desde-una-conversaci%C3%B3n-en-teams-f5138c9d-df4c-43d8-9cf6-53400c1a7798).	CHATBOT_ms_teams		[]	False	[]	1007
¿Como programo una reunion en Microsoft Teams? | como agendo una cita para mas adelante agendar reunion agendar cita MS teams Como programo reuniones en Microsoft Teams	Para programar una reunión en Microsoft Teams, puede hacerlo de la siguiente manera:\n\n1.  Haga clic en el icono de **Calendario** situado en la barra lateral izquierda de la aplicación.\n2.  Luego, haga clic en el botón situado en la parte superior derecha de la aplicación que dice **Nueva reunión.**\n3.  A continuación tendrá un formulario para crear su evento, en el cual deberá escribir un título para el mismo, agregar a las personas que asistirán al mismo, seleccionar el momento de inicio y fin. Y otras configuraciones que son muy claras.\n4.  Luego de completar todos los campos requeridos, haga clic en el botón **Guardar** que se encuentra en la parte superior derecha de la ventana actual.\n\nSi desea saber más sobre como programar una reunión, [haga clic aquí](https://support.microsoft.com/es-es/office/programar-una-reuni%C3%B3n-en-teams-943507a9-8583-4c58-b5d2-8ec8265e04e5#bkmk_scheduleameeting).	CHATBOT_ms_teams		[]	False	[]	1008
¿Como comparto mi pantalla en una reunion en Microsoft Teams? | como mostrar pantalla compartir pestaña MS teams	Para compartir el contenido de su pantalla dentro de una reunión en Microsoft Teams, debe hacer lo siguiente:\n\n1.  Cuando se encuentre en la reunión, en la parte superior derecha de la ventana, verá un **icono de un rectángulo con una flecha adentro**. Haga clic en el.\n2.  Debajo de ese botón aparecerán las opciones para compartir, en las cuales podrá elegir si desea mostrar toda su pantalla, una ventana puntual, entre otras opciones. Seleccione la que se ajuste a lo que necesite.\n3.  Una vez hecho eso, su selección estará siendo mostrada al resto de los participantes.\n\nPara dejar de compartir, basta con tocar el mismo botón que en el paso 1, que ahora se mostrará como un rectángulo con una ‘x’ adentro.\n\nSi desea saber más sobre cómo compartir su pantalla en una reunión, [haga clic aquí](https://support.microsoft.com/es-es/office/mostrar-la-pantalla-durante-una-reuni%C3%B3n-90c84e5a-b6fe-4ed4-9687-5923d230d3a7).	CHATBOT_ms_teams		[]	False	[]	1009
¿Como veo todas mis reuniones programadas en Microsoft Teams? | ver agenda meetings futuras proximas reuniones MS teams Como veo toda mi reunion programada en Microsoft Teams	Para ver sus reuniones programadas en Microsoft Teams, puede hacerlo de la siguiente manera:\n\n1.  Haga clic en el icono de **Calendario** situado en la barra lateral izquierda de la aplicación.\n2.  Al hacer esto, Teams mostrará un calendario con todas sus citas ya agendadas, pudiendo verlas día por día, y con la posibilidad de moverse cronológicamente hasta dónde desee.\n\nSi desea saber más sobre como ver sus reuniones programadas, [haga clic aquí](https://support.microsoft.com/es-es/office/ver-todas-las-reuniones-en-teams-cebd0b41-5cab-42bd-a6dc-bca46bda7b35).	CHATBOT_ms_teams		[]	False	[]	1010
